sample_id,elapsed_s,raw_stats
36,36,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 274/270/98/60, dlsch_errors 58, pucch0_DTX 319, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 324690|UE 1234: ulsch_rounds 234/234/117/117, ulsch_DTX 233, ulsch_errors 116, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 269802, ulsch_total_bytes_received 134901|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
37,37,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 278/275/100/60, dlsch_errors 58, pucch0_DTX 321, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 329430|UE 1234: ulsch_rounds 238/238/119/118, ulsch_DTX 233, ulsch_errors 117, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 274414, ulsch_total_bytes_received 138360|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
38,38,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 283/280/101/60, dlsch_errors 58, pucch0_DTX 322, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 335355|UE 1234: ulsch_rounds 242/242/120/120, ulsch_DTX 233, ulsch_errors 119, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 279026, ulsch_total_bytes_received 140666|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
39,39,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 289/285/101/60, dlsch_errors 58, pucch0_DTX 322, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 342465|UE 1234: ulsch_rounds 247/246/121/121, ulsch_DTX 233, ulsch_errors 120, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 284791, ulsch_total_bytes_received 145278|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
40,40,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 294/291/101/60, dlsch_errors 58, pucch0_DTX 323, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 348390|UE 1234: ulsch_rounds 250/250/123/123, ulsch_DTX 233, ulsch_errors 121, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 288250, ulsch_total_bytes_received 147584|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
41,41,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 299/296/102/60, dlsch_errors 58, pucch0_DTX 324, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 354315|UE 1234: ulsch_rounds 255/254/124/124, ulsch_DTX 233, ulsch_errors 123, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 294015, ulsch_total_bytes_received 151043|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
42,42,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP 0 (0 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 304/301/103/60, dlsch_errors 58, pucch0_DTX 327, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 360240|UE 1234: ulsch_rounds 259/259/125/125, ulsch_DTX 233, ulsch_errors 124, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 298627, ulsch_total_bytes_received 154502|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||X||
43,43,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 310/306/103/60, dlsch_errors 58, pucch0_DTX 329, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 367350|UE 1234: ulsch_rounds 263/262/127/127, ulsch_DTX 233, ulsch_errors 126, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 303239, ulsch_total_bytes_received 156808|UE 1234: LCID 4: 260 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
44,44,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 315/312/103/60, dlsch_errors 58, pucch0_DTX 330, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 373275|UE 1234: ulsch_rounds 267/267/128/128, ulsch_DTX 233, ulsch_errors 127, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 307851, ulsch_total_bytes_received 160267|UE 1234: LCID 4: 260 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
45,45,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 321/316/104/60, dlsch_errors 58, pucch0_DTX 332, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 380385|UE 1234: ulsch_rounds 271/271/130/129, ulsch_DTX 233, ulsch_errors 128, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 312463, ulsch_total_bytes_received 163726|UE 1234: LCID 4: 260 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
