sample_id,elapsed_s,raw_stats
31,31,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2401/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2845185|UE 1234: ulsch_rounds 1623/353/353/251, ulsch_DTX 237, ulsch_errors 117, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1843191, ulsch_total_bytes_received 1736418|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
32,32,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2464/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2919840|UE 1234: ulsch_rounds 1664/361/361/257, ulsch_DTX 237, ulsch_errors 119, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1889696, ulsch_total_bytes_received 1781385|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
33,33,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2527/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2994495|UE 1234: ulsch_rounds 1704/369/369/264, ulsch_DTX 237, ulsch_errors 119, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1935048, ulsch_total_bytes_received 1826352|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
34,34,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2590/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3069150|UE 1234: ulsch_rounds 1747/377/376/269, ulsch_DTX 237, ulsch_errors 119, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1983859, ulsch_total_bytes_received 1875931|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
35,35,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2654/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3144990|UE 1234: ulsch_rounds 1789/384/384/275, ulsch_DTX 237, ulsch_errors 122, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2031517, ulsch_total_bytes_received 1920898|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
36,36,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2717/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3219645|UE 1234: ulsch_rounds 1832/392/392/280, ulsch_DTX 237, ulsch_errors 123, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2080328, ulsch_total_bytes_received 1969324|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
37,37,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2780/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3294300|UE 1234: ulsch_rounds 1874/400/400/285, ulsch_DTX 237, ulsch_errors 124, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2128082, ulsch_total_bytes_received 2017750|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
38,38,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2840/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3365400|UE 1234: ulsch_rounds 1913/408/408/290, ulsch_DTX 237, ulsch_errors 125, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2172281, ulsch_total_bytes_received 2060411|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
39,39,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2903/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3440055|UE 1234: ulsch_rounds 1955/416/416/295, ulsch_DTX 237, ulsch_errors 128, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2219939, ulsch_total_bytes_received 2105378|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
40,40,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2966/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 3514710|UE 1234: ulsch_rounds 1998/424/423/300, ulsch_DTX 237, ulsch_errors 130, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 2268750, ulsch_total_bytes_received 2152651|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
